niter,wavelength_m,theoretical_phase_speed_m_s,relative_wave_speed
0,2.000,1.767094,3.544908
0,2.500,1.975671,3.170662
0,3.000,2.164239,2.894405
0,3.500,2.337644,2.679700
0,4.000,2.499039,2.506637
0,4.500,2.650603,2.363305
0,5.000,2.793900,2.242093
0,5.500,2.930079,2.137889
0,6.000,3.059992,2.047124
0,6.500,3.184278,1.967223
0,7.000,3.303414,1.896276
0,7.500,3.417761,1.832833
0,8.000,3.527594,1.775767
0,8.500,3.633125,1.724186
0,9.000,3.734528,1.677370
0,9.500,3.831944,1.634727
0,10.000,3.925500,1.595767
0,10.500,4.015308,1.560075
0,11.000,4.101479,1.527299
0,11.500,4.184117,1.497134
0,12.000,4.263328,1.469318
0,12.500,4.339219,1.443620
0,13.000,4.411895,1.419840
0,13.500,4.481466,1.397798
0,14.000,4.548042,1.377337
0,14.500,4.611731,1.358315
0,15.000,4.672645,1.340608
0,15.500,4.730891,1.324102
0,16.000,4.786580,1.308697
0,16.500,4.839817,1.294302
0,17.000,4.890708,1.280834
0,17.500,4.939355,1.268219
0,18.000,4.985858,1.256390
8,2.000,1.767094,1.257916
8,2.500,1.975671,1.282640
8,3.000,2.164239,1.361500
8,3.500,2.337644,1.448662
8,4.000,2.499039,1.519494
8,4.500,2.650603,1.572992
8,5.000,2.793900,1.605460
8,5.500,2.930079,1.621272
8,6.000,3.059992,1.626928
8,6.500,3.184278,1.622500
8,7.000,3.303414,1.610076
8,7.500,3.417761,1.595568
8,8.000,3.527594,1.576101
8,8.500,3.633125,1.556418
8,9.000,3.734528,1.535047
8,9.500,3.831944,1.513327
8,10.000,3.925500,1.491696
8,10.500,4.015308,1.470571
8,11.000,4.101479,1.449308
8,11.500,4.184117,1.429373
8,12.000,4.263328,1.410383
8,12.500,4.339219,1.391805
8,13.000,4.411895,1.374458
8,13.500,4.481466,1.357613
8,14.000,4.548042,1.341710
8,14.500,4.611731,1.326890
8,15.000,4.672645,1.312456
8,15.500,4.730891,1.298821
8,16.000,4.786580,1.286046
8,16.500,4.839817,1.273953
8,17.000,4.890708,1.262565
8,17.500,4.939355,1.251866
8,18.000,4.985858,1.241460
16,2.000,1.767094,1.026704
16,2.500,1.975671,1.038411
16,3.000,2.164239,1.069317
16,3.500,2.337644,1.121316
16,4.000,2.499039,1.180110
16,4.500,2.650603,1.241801
16,5.000,2.793900,1.296256
16,5.500,2.930079,1.339334
16,6.000,3.059992,1.376126
16,6.500,3.184278,1.401028
16,7.000,3.303414,1.415756
16,7.500,3.417761,1.426144
16,8.000,3.527594,1.428005
16,8.500,3.633125,1.427738
16,9.000,3.734528,1.422794
16,9.500,3.831944,1.415324
16,10.000,3.925500,1.405928
16,10.500,4.015308,1.395459
16,11.000,4.101479,1.382957
16,11.500,4.184117,1.370930
16,12.000,4.263328,1.358871
16,12.500,4.339219,1.346098
16,13.000,4.411895,1.334066
16,13.500,4.481466,1.321571
16,14.000,4.548042,1.309517
16,14.500,4.611731,1.298287
16,15.000,4.672645,1.286655
16,15.500,4.730891,1.275579
16,16.000,4.786580,1.265112
16,16.500,4.839817,1.255068
16,17.000,4.890708,1.245556
16,17.500,4.939355,1.236544
16,18.000,4.985858,1.227443
32,2.000,1.767094,1.002782
32,2.500,1.975671,1.002675
32,3.000,2.164239,1.002702
32,3.500,2.337644,1.009925
32,4.000,2.499039,1.022661
32,4.500,2.650603,1.044219
32,5.000,2.793900,1.072128
32,5.500,2.930079,1.101639
32,6.000,3.059992,1.136361
32,6.500,3.184278,1.167106
32,7.000,3.303414,1.193182
32,7.500,3.417761,1.218799
32,8.000,3.527594,1.236719
32,8.500,3.633125,1.253242
32,9.000,3.734528,1.264353
32,9.500,3.831944,1.272248
32,10.000,3.925500,1.276768
32,10.500,4.015308,1.279616
32,11.000,4.101479,1.278338
32,11.500,4.184117,1.276926
32,12.000,4.263328,1.274571
32,12.500,4.339219,1.270312
32,13.000,4.411895,1.266063
32,13.500,4.481466,1.260193
32,14.000,4.548042,1.253896
32,14.500,4.611731,1.248470
32,15.000,4.672645,1.241334
32,15.500,4.730891,1.234432
32,16.000,4.786580,1.227843
32,16.500,4.839817,1.221128
32,17.000,4.890708,1.214746
32,17.500,4.939355,1.208660
32,18.000,4.985858,1.201889
128,2.000,1.767094,1.002158
128,2.500,1.975671,1.001894
128,3.000,2.164239,1.002020
128,3.500,2.337644,1.002476
128,4.000,2.499039,1.002439
128,4.500,2.650603,1.003199
128,5.000,2.793900,1.003667
128,5.500,2.930079,1.003640
128,6.000,3.059992,1.003929
128,6.500,3.184278,1.004289
128,7.000,3.303414,1.004402
128,7.500,3.417761,1.006348
128,8.000,3.527594,1.008148
128,8.500,3.633125,1.012987
128,9.000,3.734528,1.018374
128,9.500,3.831944,1.024131
128,10.000,3.925500,1.029520
128,10.500,4.015308,1.036803
128,11.000,4.101479,1.042615
128,11.500,4.184117,1.049482
128,12.000,4.263328,1.056420
128,12.500,4.339219,1.063097
128,13.000,4.411895,1.069910
128,13.500,4.481466,1.074886
128,14.000,4.548042,1.078551
128,14.500,4.611731,1.084635
128,15.000,4.672645,1.086730
128,15.500,4.730891,1.089990
128,16.000,4.786580,1.092757
128,16.500,4.839817,1.094843
128,17.000,4.890708,1.096831
128,17.500,4.939355,1.099419
128,18.000,4.985858,1.099768
